block_index,start_symbol,stop_symbol_exclusive,optimal_fractional_timing_sample,evm_before_percent,evm_after_percent,evm_improvement_point
0,0,50,0.050600533720,9.021289026935,8.986463501881,0.034825525054
1,50,100,0.033213506835,10.854189393106,10.842211013647,0.011978379459
2,100,150,-0.045587120609,15.562210058419,15.544094533662,0.018115524757
3,150,200,-0.149081597088,17.471064876642,17.317728503276,0.153336373366
4,200,250,-0.144674068206,22.827712490360,22.723377063270,0.104335427090
5,250,300,-0.054022295839,23.101006866623,23.081886687995,0.019120178628
6,300,350,0.186916503255,26.497312536215,26.329806401334,0.167506134881
7,350,400,-0.150854086337,28.856993042456,28.734653654676,0.122339387780
8,400,450,0.195409557447,30.737687979344,30.537503305708,0.200184673636
9,450,500,0.257059026642,31.482248053323,31.198669708348,0.283578344975
10,500,550,-0.083072415279,30.832281272170,30.793213520940,0.039067751230
11,550,600,0.118726099279,28.900380690071,28.823979993669,0.076400696402
12,600,650,0.090471844147,27.617787139057,27.579949928724,0.037837210333
13,650,700,-0.354826706924,27.160018256486,26.923275137158,0.236743119327
14,700,750,0.147728064073,27.688678469011,27.588739111007,0.099939358004
15,750,800,-0.295220735015,26.579826594810,26.100179451694,0.479647143115
16,800,850,-0.382939737583,27.157956948410,26.627796863895,0.530160084515
17,850,900,0.036486586620,28.892265848541,28.885936711723,0.006329136818
18,900,950,0.158338201377,28.631112843675,28.509620069954,0.121492773722
19,950,1000,0.170495381273,33.695399332635,33.553790395104,0.141608937531
20,1000,1050,-0.089605690405,34.108330954627,34.072901766220,0.035429188407
21,1050,1100,0.002181115968,38.925176535149,38.925117399683,0.000059135466
