block_index,start_symbol,stop_symbol_exclusive,raw_evm_percent,timing_rate_corrected_evm_percent,local_phase_only_evm_percent,local_gain_only_evm_percent,local_complex_gain_evm_percent,local_phase_correction_deg,local_gain_scale,local_gain_db,local_complex_gain_real,local_complex_gain_imag,local_complex_gain_magnitude,local_complex_gain_phase_deg
0,0,50,9.021289026935,9.021869175502,3.603511915576,9.017663574169,3.602466883539,-4.745043731125,0.997438784873,-0.022274969619,0.997438784873,0.082793894913,1.000869101633,4.745043731125
1,50,100,10.854189393106,10.855080745459,3.825658971001,10.851319769580,3.816254616405,-5.834493469611,0.997495733151,-0.021779067170,0.997495733151,0.101928671809,1.002689977905,5.834493469611
2,100,150,15.562210058419,15.561394677708,4.063037875612,15.533820849491,4.058503366888,-8.630771310916,0.990578457503,-0.082222420452,0.990578457503,0.150355119665,1.001924319736,8.630771310916
3,150,200,17.471064876642,17.467380934200,4.250715285978,17.334342648542,4.183107162045,-9.692931799931,0.978330280642,-0.190290085323,0.978330280642,0.167104843548,0.992498950508,9.692931799931
4,200,250,22.827712490360,22.824306112112,4.174317213505,22.696206069002,4.173630120079,-12.902118022834,0.975492376106,-0.215522409102,0.975492376106,0.223455531412,1.000758587452,12.902118022834
5,250,300,23.101006866623,23.099799131899,4.570043727857,22.934036525272,4.565154544730,-13.002019808634,0.972305141465,-0.243948354615,0.972305141465,0.224510432444,0.997888882790,13.002019808634
6,300,350,26.497312536215,26.503256117349,17.002861277551,25.604852327250,16.304321269947,-11.543127191089,0.934106412188,-0.592072933780,0.934106412188,0.190778426202,0.953389320894,11.543127191089
7,350,400,28.856993042456,28.850615363724,23.604556050518,27.656740014161,22.568823082001,-9.444426602369,0.921062797388,-0.714215178267,0.921062797388,0.153214808228,0.933719151669,9.444426602369
8,400,450,30.737687979344,30.746631551922,30.104137296600,29.192302210062,28.585565355764,-3.542347596997,0.908579243066,-0.832743781526,0.908579243066,0.056245165299,0.910318493468,3.542347596997
9,450,500,31.482248053323,31.492746994964,31.482208777581,29.433889503725,29.433851890959,0.028210243220,0.895349852667,-0.960144670347,0.895349852667,-0.000440835946,0.895349961192,-0.028210243220
10,500,550,30.832281272170,30.827223568559,29.953125958336,27.884372564372,27.027348223140,4.085932836858,0.879509021625,-1.115194027559,0.879509021625,-0.062826949305,0.881750160010,-4.085932836858
11,550,600,28.900380690071,28.908576521614,28.591096581926,28.269834428519,27.972167551583,2.442541154470,0.941093530447,-0.527344242642,0.941093530447,-0.040143500977,0.941949326514,-2.442541154470
12,600,650,27.617787139057,27.623346870509,27.179458066517,27.420573908570,26.993511904990,2.869682584233,0.966875835479,-0.292585873637,0.966875835479,-0.048466906205,0.968089831694,-2.869682584233
13,650,700,27.160018256486,27.145977717928,27.041286337316,26.124417600754,26.009780307219,1.450788373019,0.928542459182,-0.643964652341,0.928542459182,-0.023516681207,0.928840208431,-1.450788373019
14,700,750,27.688678469011,27.698657644285,27.499245782860,27.643907819745,27.457181895876,-1.911640598990,0.983886328355,-0.141101482997,0.983886328355,0.032838985407,0.984434206073,1.911640598990
15,750,800,26.579826594810,26.555046966119,26.441165862239,26.552413997063,26.415303027536,-1.601132634524,0.987636896982,-0.108053873866,0.987636896982,0.027606735510,0.988022657698,1.601132634524
16,800,850,27.157956948410,27.130995101916,26.905747945427,27.107874357127,26.859379173040,2.178767251727,0.983161440818,-0.147503252721,0.983161440818,-0.037404378962,0.983872708371,-2.178767251727
17,850,900,28.892265848541,28.895644187487,28.874991191194,26.369860306881,26.352996484036,0.560062787843,0.890950145807,-1.002931935129,0.890950145807,-0.008709261311,0.890992712397,-0.560062787843
18,900,950,28.631112843675,28.646415164336,28.463009780282,25.970460985285,25.805623171786,-1.732791619221,0.889036688701,-1.021606324540,0.889036688701,0.026895264846,0.889443415360,1.732791619221
19,950,1000,33.695399332635,33.712849610439,33.009826674924,28.272747895659,27.584675983148,-3.698001371537,0.839553830859,-1.519029047210,0.839553830859,0.054262102579,0.841305539436,3.698001371537
20,1000,1050,34.108330954627,34.100141475930,33.655794926243,28.618449049045,28.165713038115,-3.029069690089,0.837752157924,-1.537688896276,0.837752157924,0.044330952417,0.838924258469,3.029069690089
21,1050,1100,38.925176535149,38.926060562681,37.463913330566,35.726387688604,34.355985049134,-5.989856477467,0.858038517302,-1.329864325162,0.858038517302,0.090029901655,0.862748793315,5.989856477467
